#solverEAIterated,
#Instance,Iteration,Segments,Edges,Vertices,Max k,Time,Solution value,Upper bound value,
skyline_sydney-edges-50-int-42,0,135,3967,1966,25,918675038968,55912.399900,
skyline_sydney-edges-50-int-42,0,135,3967,1966,30,920845771750,67196.817653,
skyline_sydney-edges-50-int-42,1,148,4778,2365,25,924564961798,57588.781035,
skyline_sydney-edges-50-int-42,1,148,4778,2365,30,926085091529,70586.300863,
skyline_sydney-edges-50-int-42,2,172,6012,2970,25,924913502194,65375.164079,
skyline_sydney-edges-50-int-42,2,172,6012,2970,30,933711999338,79540.244853,
ic_die25-edges-50-int-42,0,135,4087,2026,25,917855025682,19099.227097,
ic_die25-edges-50-int-42,0,135,4087,2026,30,922272294097,23305.721078,
ic_die25-edges-50-int-42,1,148,4926,2439,25,918910688062,19981.538316,
ic_die25-edges-50-int-42,1,148,4926,2439,30,931294097639,24697.935302,
ic_die25-edges-50-int-42,2,172,6324,3126,25,928612161162,22691.917438,
ic_die25-edges-50-int-42,2,172,6324,3126,30,932783231772,28487.940412,
skyline_new_york-edges-50-int-42,0,135,4063,2014,25,918252754809,94059.562409,
skyline_new_york-edges-50-int-42,0,135,4063,2014,30,924386918421,114495.742093,
skyline_new_york-edges-50-int-42,1,148,4810,2381,25,919717506421,95953.238762,
skyline_new_york-edges-50-int-42,1,148,4810,2381,30,925732423814,121726.832624,
skyline_new_york-edges-50-int-42,2,172,6378,3153,25,927260873910,108377.959683,
skyline_new_york-edges-50-int-42,2,172,6378,3153,30,929459386607,135231.458038,
ic_die26-color-50-int-42,0,135,4085,2025,25,918057457677,22897.558300,
ic_die26-color-50-int-42,0,135,4085,2025,30,922635555922,28870.438511,
ic_die26-color-50-int-42,1,148,4640,2296,25,919705105579,23381.242536,
ic_die26-color-50-int-42,1,148,4640,2296,30,927238426037,30710.362116,
ic_die26-color-50-int-42,2,172,6402,3165,25,926862136918,28915.917349,
ic_die26-color-50-int-42,2,172,6402,3165,30,933841346054,35611.917865,
ic_die05-darkness-50-int-42,0,135,4281,2123,25,918951827996,26244.728768,
ic_die05-darkness-50-int-42,0,135,4281,2123,30,924177437670,32105.324561,
ic_die05-darkness-50-int-42,1,148,4954,2453,25,921467114772,27589.886108,
ic_die05-darkness-50-int-42,1,148,4954,2453,30,923104540959,34602.518026,
ic_die05-darkness-50-int-42,2,172,6720,3324,25,925716082681,29692.953570,
ic_die05-darkness-50-int-42,2,172,6720,3324,30,935532701160,38641.560112,
random-2-opt-60-1337,0,193,7435,3681,25,927779953747,75334.884918,
random-2-opt-60-1337,0,193,7435,3681,30,940132430593,94137.545818,
random-2-opt-60-1337,1,209,8801,4356,25,930601277446,80120.433482,
random-2-opt-60-1337,1,209,8801,4356,30,911637915412,100206.351034,
random-2-opt-60-1337,2,246,12082,5978,25,914300359595,88523.752112,
random-2-opt-60-1337,2,246,12082,5978,30,951710124111,112539.823237,
von_koch-random-55-3,0,163,5373,2645,25,921674248600,26683.971468,
von_koch-random-55-3,0,163,5373,2645,30,928123435310,32418.536703,
von_koch-random-55-3,1,179,6153,3026,25,926656771828,28893.877396,
von_koch-random-55-3,1,179,6153,3026,30,930965539001,35371.459408,
von_koch-random-55-3,2,213,8481,4170,25,941867348475,33545.987601,
von_koch-random-55-3,2,213,8481,4170,30,912451322710,40581.196251,
von_koch-random-55-4,0,163,5982,2948,25,926247026713,79127.290346,
von_koch-random-55-4,0,163,5982,2948,30,930689020344,97375.327597,
von_koch-random-55-4,1,179,6789,3342,25,925418581545,83894.803415,
von_koch-random-55-4,1,179,6789,3342,30,931428866993,102518.660389,
von_koch-random-55-4,2,213,9115,4480,25,932550552547,88745.137425,
von_koch-random-55-4,2,213,9115,4480,30,912382925601,109443.734305,
von_koch-random-60-2,0,193,8426,4153,25,941765990858,10217.428467,
von_koch-random-60-2,0,193,8426,4153,30,911321016244,12540.375496,
von_koch-random-60-2,1,209,9717,4787,25,954207594635,10549.975086,
von_koch-random-60-2,1,209,9717,4787,30,913755477162,13109.204729,
von_koch-random-60-2,2,246,13518,6665,25,941822709773,11542.581432,
von_koch-random-60-2,2,246,13518,6665,30,917217289378,14732.536950,
von_koch-random-60-5,0,193,7031,3462,25,930798896720,979231.112078,
von_koch-random-60-5,0,193,7031,3462,30,941954648120,1179523.727744,
von_koch-random-60-5,1,209,8390,4132,25,950530769567,1032574.483996,
von_koch-random-60-5,1,209,8390,4132,30,948982942665,1252208.155218,
von_koch-random-60-5,2,246,11869,5850,25,914261893163,1147823.831465,
von_koch-random-60-5,2,246,11869,5850,30,950088896826,1416307.860743,
random-x-monotone-55-1337,0,158,5948,2950,25,923750041275,75005.191254,
random-x-monotone-55-1337,0,158,5948,2950,30,931916782988,92591.901420,
random-x-monotone-55-1337,1,172,6820,3379,25,925081485235,77877.771202,
random-x-monotone-55-1337,1,172,6820,3379,30,936685859188,96842.317546,
random-x-monotone-55-1337,2,205,9073,4489,25,936722074762,83419.473308,
random-x-monotone-55-1337,2,205,9073,4489,30,909262156581,104477.252787,
von_koch-random-60-4,0,193,7654,3764,25,936522585691,76493.621892,
von_koch-random-60-4,0,193,7654,3764,30,950871761308,96252.283743,
von_koch-random-60-4,1,209,8986,4418,25,954306294415,79858.245513,
von_koch-random-60-4,1,209,8986,4418,30,923831784565,99853.205202,
von_koch-random-60-4,2,246,11435,5621,25,916185334067,89269.306307,
von_koch-random-60-4,2,246,11435,5621,30,938856477116,109448.620956,
von_koch-random-60-3,0,193,6361,3129,25,930477646881,27414.992195,
von_koch-random-60-3,0,193,6361,3129,30,934001411255,33476.007696,
von_koch-random-60-3,1,209,7494,3685,25,928483280863,29506.484986,
von_koch-random-60-3,1,209,7494,3685,30,933627881285,36003.243671,
von_koch-random-60-3,2,246,10551,5190,25,928353882452,32944.249990,
von_koch-random-60-3,2,246,10551,5190,30,924311393174,40845.768578,
von_koch-random-55-5,0,163,5896,2908,25,930577524130,969252.448894,
von_koch-random-55-5,0,163,5896,2908,30,933263028725,1201739.660604,
von_koch-random-55-5,1,179,7008,3453,25,926652447184,1076665.788252,
von_koch-random-55-5,1,179,7008,3453,30,951627422572,1312102.652060,
von_koch-random-55-5,2,213,9808,4831,25,940919784424,1209577.854987,
von_koch-random-55-5,2,213,9808,4831,30,919407966402,1480188.155894,
von_koch-random-55-2,0,163,6496,3209,25,928242539993,9593.211719,
von_koch-random-55-2,0,163,6496,3209,30,935245117299,11943.963573,
von_koch-random-55-2,1,179,7554,3729,25,932255713150,10325.553418,
von_koch-random-55-2,1,179,7554,3729,30,907274841481,12749.098285,
von_koch-random-55-2,2,213,10329,5093,25,913202106760,11467.330748,
von_koch-random-55-2,2,213,10329,5093,30,921539800602,14038.077728,
